REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Region 3,2011,9,3835,221,116013
Region 4,2011,9,4467,398,153767
Region 5,2011,9,2962,277,95614
Region 6,2011,9,3853,167,82682
Region 7,2011,9,1056,98,28628
Region 8,2011,9,1104,84,43590
Region 9,2011,9,3090,253,79610
Region 10,2011,9,572,49,13939
Region 1,2011,10,960,156,52955
Region 2,2011,10,2283,143,108410
Region 3,2011,10,2830,213,106013
Region 4,2011,10,3443,382,133213
Region 5,2011,10,2557,271,96175
Region 6,2011,10,2944,172,81814
Region 7,2011,10,838,95,25236
Region 8,2011,10,1002,91,45176
Region 9,2011,10,2976,254,85608
Region 10,2011,10,544,52,13393
Region 1,2011,11,756,159,51279
Region 2,2011,11,2216,142,107772
Region 3,2011,11,2443,217,112163
Region 4,2011,11,2968,386,143350
Region 5,2011,11,2215,261,86955
Region 6,2011,11,2462,180,79479
Region 7,2011,11,500,90,22702
Region 8,2011,11,815,89,46612
Region 9,2011,11,2545,251,79380
Region 10,2011,11,389,48,12115
Region 1,2011,12,616,155,52786
Region 2,2011,12,2042,143,106142
Region 3,2011,12,1869,206,108039
Region 4,2011,12,2490,381,149762
Region 5,2011,12,1717,260,91120
Region 6,2011,12,2031,176,68964
Region 7,2011,12,353,86,20636
Region 8,2011,12,676,91,47194
Region 9,2011,12,1901,242,74008
Region 10,2011,12,336,50,10232
Region 1,2011,13,683,164,56709
Region 2,2011,13,2068,141,106279
Region 3,2011,13,1765,205,106600
Region 4,2011,13,2302,370,145022
Region 5,2011,13,1558,253,89063
Region 6,2011,13,1674,174,81134
Region 7,2011,13,257,84,18668
Region 8,2011,13,498,86,42229
Region 9,2011,13,1910,247,81335
Region 10,2011,13,242,46,12336
Region 1,2011,14,579,145,54867
Region 2,2011,14,2093,138,108123
Region 3,2011,14,1533,203,107557
Region 4,2011,14,2009,365,141385
Region 5,2011,14,1295,250,86208
Region 6,2011,14,1562,175,78117
Region 7,2011,14,230,86,20210
Region 8,2011,14,361,79,40977
Region 9,2011,14,1624,237,79663
Region 10,2011,14,212,45,11982
Region 1,2011,15,499,141,51282
Region 2,2011,15,1702,135,102826
Region 3,2011,15,1133,185,85275
Region 4,2011,15,1775,361,139202
Region 5,2011,15,929,250,87779
Region 6,2011,15,1177,166,75432
